nifty50,next50,midcap,smallcap,selfstocks,microcap,mflist
,,VOLTAS,EQUITASBNK,,MAITHANALL,
,,ABFRL,CESC,,SANGHIIND,
,,PAGEIND,RADICO,,GUFICBIO,
,,GMRINFRA,RAYMOND,,SANSERA,
,,LODHA,CIEINDIA,,JISLJALEQS,
,,MAZDOCK,HONASA,,HLEGLAS,
,,IDEA,PVRINOX,,LAOPALA,
,,CUMMINSIND,BLS,,DELTACORP,
,,POLYCAB,CROMPTON,,SULA,
,,,,,KSCL,
,,,,,GOKEX,
,,,,,TCNSBRANDS,
,,,,,TARC,
,,,,,BAJAJHIND,
,,,,,AGI,
,,,,,DCBBANK,
,,,,,IOLCP,
,,,,,TEXRAIL,
,,,,,VSTTILLERS,
,,,,,GRWRHITECH,
,,,,,IDEAFORGE,
,,,,,MARKSANS,
,,,,,RATEGAIN,
,,,,,GATEWAY,
,,,,,TARSONS,
,,,,,PDSL,
,,,,,TVSHLTD,
,,,,,SURYAROSNI,
,,,,,WONDERLA,
,,,,,WABAG,
,,,,,DALMIASUG,
,,,,,SAGCEM,
,,,,,HIKAL,
,,,,,FUSION,
,,,,,HEMIPROP,
,,,,,CIGNITITEC,
,,,,,AZAD,
,,,,,GANESHHOUC,
,,,,,SHAREINDIA,
,,,,,FEDFINA,
,,,,,HMAAGRO,
,,,,,TIDEWATER,
,,,,,SPLPETRO,
,,,,,PGEL,
,,,,,DEN,
,,,,,STAR,
,,,,,MASFIN,
,,,,,FCL,
,,,,,MANINFRA,
,,,,,DBCORP,
,,,,,BARBEQUE,
,,,,,REDTAPE,
,,,,,UFLEX,
,,,,,SCI,
,,,,,GRAVITA,
,,,,,PAISALO,
,,,,,HEIDELBERG,
,,,,,ESAFSFB,
,,,,,HATHWAY,
,,,,,POWERMECH,
,,,,,SOUTHBANK,
,,,,,RAIN,
,,,,,BOMDYEING,
,,,,,AMIORG,
,,,,,DREAMFOLKS,
,,,,,VRLLOG,
,,,,,SUDARSCHEM,
,,,,,BECTORFOOD,
,,,,,LANDMARK,
,,,,,DISHTV,
,,,,,UTKARSHBNK,
,,,,,EVEREADY,
,,,,,YATHARTH,
,,,,,CHOICEIN,
,,,,,STYLAMIND,
,,,,,SSWL,
,,,,,AVALON,
,,,,,FIEMIND,
,,,,,CARERATING,
,,,,,JCHAC,
,,,,,CMSINFO,
,,,,,ORISSAMINE,
,,,,,KALAMANDIR,
,,,,,MUTHOOTMF,
,,,,,SFL,
,,,,,JKTYRE,
,,,,,EMBDL,
,,,,,JSWHL,
,,,,,MIDHANI,
,,,,,PARAS,
,,,,,ASTRAMICRO,
,,,,,IIFLSEC,
,,,,,HINDWAREAP,
,,,,,GOCOLORS,
,,,,,INOXINDIA,
,,,,,MOIL,
,,,,,HCC,
,,,,,JAMNAAUTO,
,,,,,SEQUENT,
,,,,,AHLUCONT,
,,,,,KOLTEPATIL,
,,,,,KIRLOSENG,
,,,,,JYOTICNC,
,,,,,JTEKTINDIA,
,,,,,ARVIND,
,,,,,ASKAUTOLTD,
,,,,,JTLIND,
,,,,,JINDWORLD,
,,,,,INDOCO,
,,,,,SANDUMA,
,,,,,BANCOINDIA,
,,,,,IMFA,
,,,,,KESORAMIND,
,,,,,PATELENG,
,,,,,CYIENTDLM,
,,,,,EMIL,
,,,,,ANANTRAJ,
,,,,,NOCIL,
,,,,,TIPSINDLTD,
,,,,,RELIGARE,
,,,,,HERITGFOOD,
,,,,,BALMLAWRIE,
,,,,,SANGHVIMOV,
,,,,,SHOPERSTOP,
,,,,,LGBBROSLTD,
,,,,,STARCEMENT,
,,,,,JAICORPLTD,
,,,,,KTKBANK,
,,,,,ICIL,
,,,,,NFL,
,,,,,ETHOSLTD,
,,,,,TIMETECHNO,
,,,,,WELENT,
,,,,,IFCI,
,,,,,SPANDANA,
,,,,,SUNFLAG,
,,,,,POLYPLEX,
,,,,,GREAVESCOT,
,,,,,PARADEEP,
,,,,,BASF,
,,,,,ZYDUSWELL,
,,,,,DATAMATICS,
,,,,,NUCLEUS,
,,,,,INGERRAND,
,,,,,NEWGEN,
,,,,,PTC,
,,,,,VENKEYS,
,,,,,ARVINDFASN,
,,,,,GREENPANEL,
,,,,,TEAMLEASE,
,,,,,ORIENTELEC,
,,,,,DHANI,
,,,,,NESCO,
,,,,,EDELWEISS,
,,,,,ISGEC,
,,,,,SARDAEN,
,,,,,GRINFRA,
,,,,,THOMASCOOK,
,,,,,KIRLOSBROS,
